,Artist Name,Song Name,education,knowledge,school,science,teach,teacher
4092,Killah Priest,Science Project,0,0,1,24,0,0
4046,Killah Priest,It's Over,0,2,0,3,0,0
463,Beastie Boys,"Dr. Lee, PhD",0,0,0,3,0,0
4194,Kool G Rap,Men at Work,0,0,0,2,0,0
4197,Kool G Rap,Men at Work,0,0,0,2,0,0
4199,Kool G Rap,Money in the Bank,0,0,0,2,0,0
5119,Ludacris,Throw It Up,0,0,0,2,0,0
3122,Ice-T,The Syndicate,0,1,0,2,0,0
864,Boogie Down Productions,Blackman in Effect,1,0,0,2,0,1
738,Blackalicious,Your Move,0,0,0,2,0,0
3701,Jedi Mind Tricks,Imperial Tyranny,0,0,0,2,0,0
4195,Kool G Rap,Men at Work,0,0,0,2,0,0
4196,Kool G Rap,Men at Work,0,0,0,2,0,0
3135,Ice-T,You Played Yourself,0,0,1,2,0,0
3134,Ice-T,You Played Yourself,0,0,1,2,0,0
3133,Ice-T,You Played Yourself,0,0,1,2,0,0
929,Boogie Down Productions,Ya Know the Rules,2,0,1,1,1,1
930,Boogie Down Productions,Ya Know the Rules,2,0,1,1,1,1
8644,Wu Tang Clan,Conditioner,0,0,0,1,0,0
5982,Nas,Life We Chose,0,0,0,1,0,0
703,Blackalicious,Brain Washers,0,0,0,1,0,0
3734,Jedi Mind Tricks,The Philosophy of Horror,0,0,0,1,1,0
3083,Ice-T,Message to the Soldier,0,2,0,1,0,0
3733,Jedi Mind Tricks,The Immaculate Conception,0,0,0,1,0,0
1760,De La Soul,Down Syndrome,0,0,0,1,0,0
243,Action Bronson,Love Letter,0,0,0,1,0,0
7858,The Roots,The Fire,0,0,0,1,0,0
5645,MF Doom,Who You Think I Am?,0,0,0,1,0,0
6662,Rakim,Let the Rhythm Hit 'Em,0,0,0,1,0,0
5997,Nas,Nas Is Like,0,0,0,1,0,0
516,Beastie Boys,Root Down,0,0,0,1,0,0
7830,The Roots,Respond/React,0,0,0,1,0,0
5641,MF Doom,The Finest,0,0,0,1,0,0
1061,Brother Ali,The Bite Marked Heart,0,0,0,1,0,0
2977,GZA,"Knock, Knock",0,0,0,1,0,0
675,Biz Markie,Nobody Beats the Biz,0,0,0,1,0,0
2490,Gang Starr,Knowledge,0,12,0,1,0,0
7816,The Roots,No Alibi,0,0,1,1,0,0
5310,Mac Miller,Loitering,0,0,0,1,0,0
3225,Ice Cube,The Birth,0,0,0,1,0,0
1982,DMX,D-X-L (Hard White),0,0,1,1,0,0
6010,Nas,Queens Get the Money,0,0,0,1,0,0
1083,Busta Rhymes,Against All Odds,0,0,0,1,0,0
283,Aesop Rock,Crows 1,0,0,0,1,0,0
5764,Mobb Deep,"G.O.D., Pt. III",0,0,0,1,0,0
8663,Wu Tang Clan,Heaterz,0,0,0,1,0,0
3092,Ice-T,O.G. Original Gangster,0,0,0,1,0,0
6245,Outkast,Flip Flop Rock,0,1,0,1,0,0
2930,GZA,7 Pounds,0,0,0,1,0,0
3119,Ice-T,The Hunted Child,0,0,0,1,1,0
