,Artist Name,Song Name,education,knowledge,school,science,teach,teacher
4376,KRS-One,False Pride,0,0,0,0,0,10
883,Boogie Down Productions,"Gimme, Dat, (Woy)",0,0,1,0,2,3
4482,KRS-One,The Lessin,0,1,0,0,0,3
897,Boogie Down Productions,My Philosophy,0,0,0,0,1,3
896,Boogie Down Productions,My Philosophy,0,0,0,0,1,3
4400,KRS-One,Hush,0,2,0,0,0,2
894,Boogie Down Productions,Like a Throttle,0,0,0,0,0,2
4414,KRS-One,Krush Them,0,1,0,0,0,2
4421,KRS-One,Me Man,0,1,0,0,0,2
901,Boogie Down Productions,Poetry,0,0,0,0,0,2
4404,KRS-One,I Got Next/Neva Hadda Gun,0,0,0,0,1,2
2569,Geto Boys,F#@*' Em,0,0,0,0,0,2
902,Boogie Down Productions,Poetry,0,0,0,0,0,2
5157,Lupe Fiasco,He Say She Say,0,0,0,0,0,2
6476,Public Enemy,War at 33 1/3,0,0,0,0,0,2
7621,Tech n9ne,Straight Out the Gate,0,0,0,0,0,1
2901,Gucci Mane,Neva Had Sh*t,0,0,4,0,0,1
889,Boogie Down Productions,Jack of Spades,0,0,0,0,0,1
336,Aesop Rock,We're Famous,0,0,0,0,0,1
2684,Ghostface Killah,Flowers,0,0,0,0,0,1
3757,Juvenile,After Cash Money Concert,0,0,0,0,0,1
173,A Tribe Called Quest,His Name Is Mutty Ranks,0,0,0,0,0,1
5164,Lupe Fiasco,Hurt Me Soul,0,0,0,0,1,1
5947,Nas,Dispear,0,0,1,0,0,1
6815,Run D.M.C.,Miss Elaine,0,0,0,0,0,1
4635,Lil B,I Seen That Light,0,0,0,0,0,1
7368,Talib Kweli,Gutter Rainbows,0,0,0,0,0,1
1046,Brother Ali,Prince Charming,0,0,0,0,0,1
5105,Ludacris,Sexting,0,0,0,0,0,1
8770,Xzibit,Kenny Parker Show 2001,0,0,0,0,0,1
2327,E-40,What Happened to Them Days,0,0,0,0,0,1
1227,Cam'ron,F*** You,0,0,0,0,0,1
3909,Kanye West,No Church in the Wild,0,0,0,0,1,1
1231,Cam'ron,Fuck You,0,0,0,0,0,1
6014,Nas,Remember the Times,0,0,0,0,0,1
4347,KRS-One,Ain't Ready,0,0,0,0,1,1
6013,Nas,Reason,0,0,2,0,0,1
4961,LL Cool J,Imagine That,0,0,1,0,0,1
5652,Missy Elliott,Beat Biters,0,0,0,0,0,1
2161,E-40,Do Ya Head Like This,0,0,1,0,0,1
2157,E-40,Dirty Deeds,0,0,1,0,0,1
2338,Fat Joe,300 Brolic,0,0,0,0,0,1
525,Beastie Boys,Slow Ride,0,0,0,0,0,1
965,Brand Nubian,Love vs. Hate,0,2,0,0,0,1
1065,Brother Ali,Tight Rope,0,0,1,0,0,1
6445,Public Enemy,Rebirth,0,0,0,0,0,1
2993,GZA,Path Of Destruction,0,0,0,0,0,1
2457,Gang Starr,Above the Clouds,0,0,0,0,0,1
870,Boogie Down Productions,Criminal Minded,1,2,0,0,0,1
6991,Sage Francis,The Best of Times,0,0,1,0,0,1
